"cz","Name","Density_of_Jobs_in_2013"
"cz23900","Peoria, IL",50.86
"cz12600","Wayne, IN",50.44
"cz13300","Findlay, OH",49.62
"cz20902","Pittsfield, MA & VT",49.38
"cz22100","Iowa City, IA",49.28
"cz17100","Huntington, KY & OH & WV",49.26
"cz17600","Charlottesville, VA",48.95
"cz10000","Panama City, FL",48.78
"cz11101","Montgomery, AL",48.46
"cz29204","Topeka, KS",47.45
"cz26503","Sioux Falls, SD",47.26
"cz6502","Cleveland, TN",47.14
"cz37000","Modesto, CA",47.12
"cz19902","Easton, MD",46.87
"cz21302","Owatonna, MN",46.76
"cz37700","Santa Rosa, CA",46.65
"cz1002","Morganton, NC",46.14
"cz16901","Charleston, WV",46.11
"cz13800","Wayne, IN",46.07
"cz37200","Fresno, CA",45.9
"cz7900","Gainesville, FL",45.59
"cz2700","Gulfport, MS",45.47
"cz1001","Boone, NC & TN",45.33
"cz23500","Decatur, IL",45.06
"cz39302","Bellingham, WA",44.88
"cz38901","Eugene, OR",44.86
"cz5401","Bowling Green, KY",44.84
"cz29601","Columbia, MO",44.58
"cz29501","Leavenworth, KS",44.34
"cz11001","Mobile, AL",44.15
"cz1800","Goldsboro, NC",44.13
"cz25402","Murray, KY",43.7
"cz14600","Bloomington, IN",43.69
"cz14500","Lafayette, IL & IN",43.6
"cz13900","Center, IN",43.49
"cz30601","El Paso, NM & TX",43.41
"cz4402","Richmond, KY",43.22
"cz6100","Gadsden, AL",42.97
"cz21701","Rochester, MN",42.75
"cz37100","Bakersfield, CA",42.7
"cz9800","Auburn, AL",42.58
"cz31800","College Station, TX",42.55
"cz18100","Elmira, NY & PA",42.54
"cz20700","Keene, NH & VT",42.18
"cz39301","Friday Harbor, WA",42.11
"cz29700","Springfield, MO",42.09
"cz23400","Bloomington, IL",41.9
"cz5900","Clarksville, KY & TN",41.74
"cz3400","Houma, LA",39.86
"cz17200","Harrisonburg, VA & WV",39.86
"cz28800","Fort Collins, CO",39.13
"cz5700","Tullahoma, TN",39.08
"cz15600","Wheeling, OH & WV",38.98
"cz16100","State College, PA",38.61
"cz402","Martinsville, VA",38.21
"cz33300","Tyler, TX",38.1
"cz14400","Terre Haute, IN",37.63
"cz33400","Longview, TX",37.35
"cz12903","Danville, KY",37.3
"cz9900","Tallahassee, FL",37.06
"cz29901","Joplin, KS & MO & OK",36.42
"cz12800","Washington, IN",36.19
"cz8602","Brunswick, GA",36.15
"cz4901","Jackson, TN",36.13
"cz15300","Parkersburg, OH & WV",36.11
"cz32801","Waco, TX",35.8
"cz24200","Bourbonnais, IL",35.73
"cz12301","Traverse City, MI",35.16
