"cz","Name","Density_of_Jobs_in_2013"
"cz34604","Lusk, WY",0.5072
"cz35905","Loa, UT",0.499
"cz39204","Condon, OR",0.4977
"cz30907","Matador, TX",0.477
"cz34804","Clayton, NM",0.4653
"cz34309","Harlowton, MT",0.4338
"cz37902","Reno, NV",0.4226
"cz30702","Santa Rosa, NM",0.4226
"cz36503","Lakeview, OR",0.3776
"cz34101","Sand Point, AK",0.2983
"cz36502","Burns, OR",0.29
"cz34115","Fairbanks, AK",0.2643
"cz30605","Van Horn, TX",0.2539
"cz26401","Ekalaka, MT & SD",0.2329
"cz34112","Bethel, AK",0.2058
"cz34106","Nome, AK",0.1581
"cz34306","Jordan, MT",0.1576
"cz34103","Valdez, AK",0.1298
"cz34105","Kotzebue, AK",0.0721
"cz34107","Dillingham, AK",0.0581
"cz34113","Barrow, AK",0.0425
